research_period,market_state,stock_state,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,c3_confirmation_pct,avg_mfe_pct,avg_mae_pct,symbol_n,trade_date_n,market_feature,stock_feature
DISCOVERY,ALL_3_ALIGNED,ALIGNED,1114,1087,547,540,1,26,50.32198712051518,42.908438061041295,1.3554969839584468,1.205779966102192,112,124,market_3idx_prior_5d_state,trend_5d_binary_state
DISCOVERY,ALL_3_ALIGNED,FLAT,2,2,1,1,0,0,50.0,0.0,0.6877377816798345,2.0576438269592314,2,2,market_3idx_prior_5d_state,trend_5d_binary_state
DISCOVERY,ALL_3_ALIGNED,OPPOSING,536,526,262,264,1,9,49.80988593155894,47.201492537313435,1.2089597452866294,1.197871554805774,107,120,market_3idx_prior_5d_state,trend_5d_binary_state
DISCOVERY,ALL_3_OPPOSING,ALIGNED,541,533,266,267,2,6,49.906191369606006,45.84103512014787,1.2330471952552373,1.2450792973092246,109,120,market_3idx_prior_5d_state,trend_5d_binary_state
DISCOVERY,ALL_3_OPPOSING,OPPOSING,1096,1062,557,505,7,27,52.4482109227872,49.45255474452555,1.2576359259746623,1.2528779436899002,112,123,market_3idx_prior_5d_state,trend_5d_binary_state
DISCOVERY,MAJORITY_ALIGNED,ALIGNED,192,189,85,104,0,3,44.973544973544975,41.666666666666664,1.191544485992,1.401629302538872,90,28,market_3idx_prior_5d_state,trend_5d_binary_state
DISCOVERY,MAJORITY_ALIGNED,OPPOSING,158,155,88,67,0,3,56.774193548387096,44.936708860759495,1.424972239180154,1.1370174083570963,86,27,market_3idx_prior_5d_state,trend_5d_binary_state
DISCOVERY,MAJORITY_OPPOSING,ALIGNED,182,180,86,94,1,1,47.77777777777778,42.857142857142854,1.4049344371697168,1.3348062415040247,90,28,market_3idx_prior_5d_state,trend_5d_binary_state
DISCOVERY,MAJORITY_OPPOSING,OPPOSING,209,203,97,106,2,4,47.783251231527096,44.97607655502392,1.3899236668164354,1.4858113643027204,93,28,market_3idx_prior_5d_state,trend_5d_binary_state
DISCOVERY,UNKNOWN,UNKNOWN,143,141,91,50,0,2,64.53900709219859,60.83916083916084,1.230568193605538,1.0378230612189279,83,6,market_3idx_prior_5d_state,trend_5d_binary_state
VALIDATION,ALL_3_ALIGNED,ALIGNED,954,921,421,500,21,12,45.71118349619978,46.0167714884696,1.5629452411073221,1.6528335558161151,112,110,market_3idx_prior_5d_state,trend_5d_binary_state
VALIDATION,ALL_3_ALIGNED,OPPOSING,550,545,243,302,5,0,44.58715596330275,42.90909090909091,1.5173846913418625,1.5069258553827827,108,109,market_3idx_prior_5d_state,trend_5d_binary_state
VALIDATION,ALL_3_OPPOSING,ALIGNED,521,511,257,254,7,3,50.29354207436399,45.489443378119,1.6705618830180038,1.428656246192555,108,110,market_3idx_prior_5d_state,trend_5d_binary_state
VALIDATION,ALL_3_OPPOSING,OPPOSING,880,855,466,389,15,10,54.50292397660819,51.93181818181818,1.7596467123976658,1.579184373772137,111,110,market_3idx_prior_5d_state,trend_5d_binary_state
VALIDATION,MAJORITY_ALIGNED,ALIGNED,313,308,138,170,5,0,44.8051948051948,42.49201277955272,1.7319862444054055,1.6787736222868546,105,48,market_3idx_prior_5d_state,trend_5d_binary_state
VALIDATION,MAJORITY_ALIGNED,OPPOSING,321,315,159,156,6,0,50.476190476190474,49.532710280373834,1.373606540440371,1.6265134338850062,106,48,market_3idx_prior_5d_state,trend_5d_binary_state
VALIDATION,MAJORITY_OPPOSING,ALIGNED,277,275,150,125,2,0,54.54545454545455,47.292418772563174,1.899294291903382,1.3897640600659333,101,47,market_3idx_prior_5d_state,trend_5d_binary_state
VALIDATION,MAJORITY_OPPOSING,OPPOSING,318,310,164,146,6,2,52.903225806451616,52.515723270440255,2.043865408215682,1.3863561284477648,98,48,market_3idx_prior_5d_state,trend_5d_binary_state
DISCOVERY,ALL_3_ALIGNED,MULTIPLE,527,521,247,274,0,6,47.408829174664106,43.07400379506641,1.608136649887691,1.4020540636992456,102,119,market_3idx_prior_5d_state,aligned_exhaustion_state
DISCOVERY,ALL_3_ALIGNED,NONE,832,803,423,380,2,27,52.6774595267746,45.67307692307692,1.127454843962445,1.0408678153474962,111,122,market_3idx_prior_5d_state,aligned_exhaustion_state
DISCOVERY,ALL_3_ALIGNED,ONE,293,291,140,151,0,2,48.10996563573883,42.32081911262799,1.276010561430496,1.3123850147748666,104,110,market_3idx_prior_5d_state,aligned_exhaustion_state
DISCOVERY,ALL_3_OPPOSING,MULTIPLE,213,210,92,118,0,3,43.80952380952381,45.070422535211264,1.3557954416221698,1.471820660327293,82,101,market_3idx_prior_5d_state,aligned_exhaustion_state
DISCOVERY,ALL_3_OPPOSING,NONE,1175,1141,606,535,6,28,53.11130587204207,49.361702127659576,1.2084588143926431,1.1477733449479275,112,124,market_3idx_prior_5d_state,aligned_exhaustion_state
DISCOVERY,ALL_3_OPPOSING,ONE,249,244,125,119,3,2,51.22950819672131,45.78313253012048,1.3523051065238367,1.54462106491925,88,104,market_3idx_prior_5d_state,aligned_exhaustion_state
DISCOVERY,MAJORITY_ALIGNED,MULTIPLE,80,79,39,40,0,1,49.36708860759494,41.25,1.4415823017161453,1.8203801790714238,47,25,market_3idx_prior_5d_state,aligned_exhaustion_state
DISCOVERY,MAJORITY_ALIGNED,NONE,212,207,111,96,0,5,53.6231884057971,44.339622641509436,1.2265805349771315,1.1014298165522394,94,28,market_3idx_prior_5d_state,aligned_exhaustion_state
DISCOVERY,MAJORITY_ALIGNED,ONE,58,58,23,35,0,0,39.6551724137931,41.37931034482759,1.3544913370428406,1.2004834685016543,44,24,market_3idx_prior_5d_state,aligned_exhaustion_state
DISCOVERY,MAJORITY_OPPOSING,MULTIPLE,81,79,43,36,1,1,54.43037974683544,46.91358024691358,1.7226362838666036,1.4367045738329267,51,27,market_3idx_prior_5d_state,aligned_exhaustion_state
DISCOVERY,MAJORITY_OPPOSING,NONE,237,231,109,122,2,4,47.18614718614719,43.037974683544306,1.358237227581044,1.3819081842037482,102,28,market_3idx_prior_5d_state,aligned_exhaustion_state
DISCOVERY,MAJORITY_OPPOSING,ONE,73,73,31,42,0,0,42.465753424657535,43.83561643835616,1.16104591780303,1.5011506980307618,51,24,market_3idx_prior_5d_state,aligned_exhaustion_state
DISCOVERY,UNKNOWN,NONE,138,136,87,49,0,2,63.970588235294116,60.869565217391305,1.2330124772687223,1.017575977000335,82,6,market_3idx_prior_5d_state,aligned_exhaustion_state
DISCOVERY,UNKNOWN,ONE,5,5,4,1,0,0,80.0,60.0,1.1631059645016446,1.5966425856520925,5,2,market_3idx_prior_5d_state,aligned_exhaustion_state
VALIDATION,ALL_3_ALIGNED,MULTIPLE,541,525,246,279,15,1,46.857142857142854,48.059149722735675,1.8845835248482592,1.8201757133597345,108,108,market_3idx_prior_5d_state,aligned_exhaustion_state
VALIDATION,ALL_3_ALIGNED,NONE,675,658,292,366,8,9,44.37689969604863,42.51851851851852,1.2705568114112966,1.422372052518458,109,110,market_3idx_prior_5d_state,aligned_exhaustion_state
VALIDATION,ALL_3_ALIGNED,ONE,288,283,126,157,3,2,44.522968197879855,44.44444444444444,1.5570340472530415,1.5999869317066964,104,95,market_3idx_prior_5d_state,aligned_exhaustion_state
VALIDATION,ALL_3_OPPOSING,MULTIPLE,312,306,145,161,6,0,47.38562091503268,42.62820512820513,1.9818611543701206,1.6728419411640574,100,98,market_3idx_prior_5d_state,aligned_exhaustion_state
VALIDATION,ALL_3_OPPOSING,NONE,853,827,444,383,13,13,53.68802902055623,51.46541617819461,1.5723329964629298,1.453397176069817,111,111,market_3idx_prior_5d_state,aligned_exhaustion_state
VALIDATION,ALL_3_OPPOSING,ONE,236,233,134,99,3,0,57.51072961373391,51.69491525423729,1.9462335670168176,1.5777020184536508,94,90,market_3idx_prior_5d_state,aligned_exhaustion_state
VALIDATION,MAJORITY_ALIGNED,MULTIPLE,192,187,88,99,5,0,47.05882352941177,45.3125,1.9087227112855478,1.9472386347724384,90,45,market_3idx_prior_5d_state,aligned_exhaustion_state
VALIDATION,MAJORITY_ALIGNED,NONE,333,330,160,170,3,0,48.484848484848484,47.447447447447445,1.311464501757399,1.4887959089495615,98,48,market_3idx_prior_5d_state,aligned_exhaustion_state
VALIDATION,MAJORITY_ALIGNED,ONE,109,106,49,57,3,0,46.22641509433962,43.11926605504587,1.6499720580569905,1.632367894462021,64,39,market_3idx_prior_5d_state,aligned_exhaustion_state
