model_id,validation_subperiod,total_n,binary_n,favorable_n,adverse_n,both_n,unresolved_n,favorable_first_pct,avg_mfe_pct,avg_mae_pct,median_mfe_pct,median_mae_pct,symbol_n,trade_date_n
M0_BASELINE,VALIDATION_NEWER,2093,2040,1007,1033,34,19,49.36274509803921,1.7620856815045638,1.6366338575444745,1.212250755748258,1.1300569592522165,112,80
M0_BASELINE,VALIDATION_OLDER,2041,2000,991,1009,33,8,49.55,1.5754585837715622,1.4637642193002673,1.1424017003188192,1.1144971702220297,112,79
M1_AVOIDANCE_FILTER,VALIDATION_NEWER,1544,1513,781,732,26,5,51.61929940515532,1.7973579261887145,1.6136938313205837,1.237432120118632,1.0915558210717173,112,80
M1_AVOIDANCE_FILTER,VALIDATION_OLDER,1612,1578,804,774,27,7,50.950570342205324,1.6380404603416077,1.4460789775451632,1.1577679865615602,1.1061241712975387,112,79
M2_POSITIVE_ONLY,VALIDATION_NEWER,187,185,104,81,2,0,56.21621621621622,1.8865973994475245,1.7076460136710134,1.511764705882349,1.1786600496277773,93,61
M2_POSITIVE_ONLY,VALIDATION_OLDER,209,204,121,83,3,2,59.31372549019608,1.9522219586403744,1.272643077047683,1.4812202433433193,0.9289714641301464,89,56
M3_TRIAGE_PREFERRED,VALIDATION_NEWER,187,185,104,81,2,0,56.21621621621622,1.8865973994475245,1.7076460136710134,1.511764705882349,1.1786600496277773,93,61
M3_TRIAGE_PREFERRED,VALIDATION_OLDER,209,204,121,83,3,2,59.31372549019608,1.9522219586403744,1.272643077047683,1.4812202433433193,0.9289714641301464,89,56
M4_TRIAGE_STANDARD_PLUS,VALIDATION_NEWER,1544,1513,781,732,26,5,51.61929940515532,1.7973579261887145,1.6136938313205837,1.237432120118632,1.0915558210717173,112,80
M4_TRIAGE_STANDARD_PLUS,VALIDATION_OLDER,1612,1578,804,774,27,7,50.950570342205324,1.6380404603416077,1.4460789775451632,1.1577679865615602,1.1061241712975387,112,79
